#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-17T13:40:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-17T13:40:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/152/157/table2&-out.max=10000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520157
#Name: J/AJ/152/157
#Title: Mass models for 175 disk galaxies with SPARC (Lelli+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	creator=Lelli F.	    First author or institution
#INFO	cites=bibcode:2016AJ....152..157L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/157	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520157	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_157_table2:
#Name: J/AJ/152/157/table2
#Title: Mass models
#Column	Name	(a11)	Galaxy identifier	[ucd=meta.id;meta.main]
#Column	Dist	(F6.2)	[0.98/127.8] Assumed distance	[ucd=pos.distance;pos.heliocentric]
#Column	Rad	(F6.2)	[0.08/108.31] Galactocentric radius	[ucd=phys.size.radius;pos.galactocentric]
#Column	Vobs	(F6.2)	[1.4/383] Observed circular velocity (V_obs_)	[ucd=phys.veloc]
#Column	e_Vobs	(F5.2)	[0.2/75] Uncertainty in Vobs (1)	[ucd=stat.error]
#Column	Vgas	(F6.2)	[-17/87] Gas velocity contribution (V_gas_) (2)	[ucd=phys.veloc]
#Column	Vdisk	(F6.2)	[1/372] Disk velocity contribution V_disk_ (3)	[ucd=phys.veloc]
#Column	SBdisk	(F7.2)	[0/7394] Disk surface brightness {Sigma}_disk_	[ucd=phot.flux.sb]
Name	Dist	Rad	Vobs	e_Vobs	Vgas	Vdisk	SBdisk
DDO161     	  7.50	  2.02	 32.90	 2.65	 18.74	 24.92	  11.77
DDO161     	  7.50	  2.49	 35.20	 2.88	 21.52	 25.85	   7.54
DDO161     	  7.50	  2.96	 37.60	 3.05	 23.28	 26.01	   5.12
DDO161     	  7.50	  3.43	 40.60	 3.68	 24.59	 25.36	   3.64
DDO161     	  7.50	  3.90	 42.70	 3.25	 25.62	 25.01	   2.55
DDO161     	  7.50	  4.37	 45.50	 2.99	 26.35	 24.48	   1.74
DDO161     	  7.50	  4.86	 48.90	 1.96	 27.08	 23.70	   1.09
DDO161     	  7.50	  5.34	 51.50	 1.53	 27.81	 22.69	   0.64
DDO161     	  7.50	  5.81	 53.00	 1.86	 28.40	 21.59	   0.46
DDO161     	  7.50	  6.28	 55.00	 1.48	 28.98	 20.86	   0.36
DDO161     	  7.50	  6.75	 57.60	 0.99	 29.57	 20.11	   0.24
DDO161     	  7.50	  7.22	 59.70	 1.19	 30.30	 19.38	   0.16
DDO161     	  7.50	  7.69	 60.50	 1.26	 31.18	 18.70	   0.11
DDO161     	  7.50	  8.16	 61.80	 1.33	 32.06	 18.06	   0.07
DDO161     	  7.50	  8.64	 62.90	 1.35	 32.64	 17.47	   0.05
DDO161     	  7.50	  9.11	 63.00	 2.09	 33.23	 16.94	   0.03
DDO161     	  7.50	  9.58	 64.50	 2.38	 33.38	 16.44	   0.02
DDO161     	  7.50	 10.05	 65.60	 1.08	 33.38	 15.98	   0.02
DDO161     	  7.50	 10.52	 67.50	 3.22	 32.79	 15.57	   0.01
DDO161     	  7.50	 10.99	 66.80	 2.37	 32.06	 15.18	   0.01
DDO161     	  7.50	 11.46	 66.80	 0.95	 31.18	 14.81	   0.00
DDO161     	  7.50	 11.94	 66.60	 0.96	 30.30	 14.47	   0.00
DDO161     	  7.50	 12.41	 66.80	 0.99	 29.42	 14.16	   0.00
DDO161     	  7.50	 12.90	 66.30	 0.74	 28.69	 13.86	   0.00
DDO161     	  7.50	 13.37	 66.10	 1.31	 27.81	 13.59	   0.00
DDO168     	  4.25	  0.41	 15.00	 4.10	 10.41	  8.28	  20.43
DDO168     	  4.25	  0.82	 23.40	 1.30	 18.08	 12.66	  14.59
DDO168     	  4.25	  1.24	 29.20	 1.50	 20.09	 15.11	   8.79
DDO168     	  4.25	  1.64	 36.20	 1.10	 20.20	 15.99	   5.90
DDO168     	  4.25	  2.06	 44.00	 1.10	 22.00	 16.89	   4.09
DDO168     	  4.25	  2.47	 52.10	 1.20	 22.63	 17.03	   2.87
DDO168     	  4.25	  2.89	 52.90	 1.70	 22.95	 16.99	   2.09
DDO168     	  4.25	  3.30	 54.80	 2.20	 22.74	 17.19	   1.56
DDO168     	  4.25	  3.71	 55.00	 2.50	 22.74	 17.16	   0.82
DDO168     	  4.25	  4.12	 52.00	 2.70	 22.74	 16.37	   0.00
DDO170     	 15.40	  1.87	 27.70	 3.00	  8.68	 18.19	   9.38
DDO170     	 15.40	  3.36	 42.40	 1.50	 15.07	 19.75	   3.58
DDO170     	 15.40	  4.86	 52.50	 1.00	 20.59	 19.94	   2.02
DDO170     	 15.40	  6.35	 55.60	 1.00	 24.61	 19.17	   0.91
DDO170     	 15.40	  7.85	 58.60	 1.10	 26.94	 18.71	   0.47
DDO170     	 15.40	  9.34	 59.00	 1.20	 27.60	 17.41	   0.18
DDO170     	 15.40	 10.83	 60.00	 1.30	 26.77	 16.05	   0.09
DDO170     	 15.40	 12.33	 62.20	 1.00	 24.90	 15.01	   0.00
ESO079-G014	 28.70	  0.41	 33.20	11.60	  2.21	 28.95	 455.28
ESO079-G014	 28.70	  0.98	 50.40	11.80	  4.41	 47.60	 284.50
ESO079-G014	 28.70	  1.78	 53.90	 9.75	  6.75	 62.09	 213.32
ESO079-G014	 28.70	  2.69	 67.60	 5.10	  8.55	 75.48	 152.20
ESO079-G014	 28.70	  3.36	 81.70	 5.06	  9.18	 82.21	 142.61
ESO079-G014	 28.70	  4.39	102.00	 5.35	  9.29	 86.87	 105.73
ESO079-G014	 28.70	  5.65	116.00	 6.44	  9.50	 92.23	  92.69
ESO079-G014	 28.70	  6.34	132.00	 9.10	 10.22	 96.19	  89.82
ESO079-G014	 28.70	  6.89	137.00	 5.25	 11.87	100.53	  87.61
ESO079-G014	 28.70	  8.34	154.00	 4.20	 17.23	113.81	  78.45
ESO079-G014	 28.70	 10.04	163.00	 3.28	 24.23	128.72	  58.05
ESO079-G014	 28.70	 11.65	170.00	 2.41	 30.75	133.41	  39.79
ESO079-G014	 28.70	 13.36	175.00	 2.18	 36.20	132.99	  23.18
ESO079-G014	 28.70	 15.06	177.00	 2.23	 39.42	128.51	  15.89
ESO079-G014	 28.70	 16.67	178.00	 2.03	 40.49	124.23	  10.92
ESO116-G012	 13.00	  0.25	 20.90	 3.40	 -0.22	 17.33	 276.94
ESO116-G012	 13.00	  0.83	 40.00	 3.29	 -1.80	 34.96	 168.99
ESO116-G012	 13.00	  1.38	 51.50	 2.96	 -1.55	 51.34	 141.01
ESO116-G012	 13.00	  1.85	 67.90	 3.45	  5.01	 61.73	  81.24
ESO116-G012	 13.00	  2.68	 80.20	 2.93	 12.54	 60.49	  46.01
ESO116-G012	 13.00	  3.19	 83.30	 3.08	 16.68	 63.17	  41.40
ESO116-G012	 13.00	  3.68	 91.40	 2.83	 20.19	 65.14	  30.23
ESO116-G012	 13.00	  4.13	102.00	 5.40	 22.31	 66.32	  24.20
ESO116-G012	 13.00	  5.23	105.00	 4.21	 25.63	 64.52	   9.48
ESO116-G012	 13.00	  6.05	109.00	 2.10	 27.28	 60.09	   3.57
ESO116-G012	 13.00	  6.81	108.00	 2.10	 28.58	 55.74	   2.78
ESO116-G012	 13.00	  7.56	109.00	 2.10	 30.70	 53.61	   2.04
ESO116-G012	 13.00	  8.32	110.00	 2.10	 33.83	 51.18	   1.21
ESO116-G012	 13.00	  9.09	111.00	 2.33	 35.49	 49.08	   0.72
ESO116-G012	 13.00	  9.86	112.00	 4.74	 33.74	 46.34	   0.00
ESO444-G084	  4.83	  0.26	 18.30	 1.80	  4.59	  8.31	  31.29
ESO444-G084	  4.83	  0.77	 35.30	 3.00	 11.55	 14.79	  10.44
ESO444-G084	  4.83	  1.29	 47.80	 4.63	 16.45	 14.54	   3.29
ESO444-G084	  4.83	  1.81	 52.80	 1.26	 19.03	 13.66	   1.03
ESO444-G084	  4.83	  2.32	 58.00	 3.11	 20.09	 12.28	   0.34
ESO444-G084	  4.83	  3.39	 63.10	 1.35	 17.39	  9.97	   0.03
ESO444-G084	  4.83	  4.44	 62.70	 7.36	 14.45	  8.53	   0.00
ESO563-G021	 60.80	  0.45	 18.90	 9.78	  0.00	 65.19	2096.34
ESO563-G021	 60.80	  1.34	 58.30	10.50	  0.00	120.17	 997.68
ESO563-G021	 60.80	  2.23	 74.10	 5.69	  0.00	137.48	 691.26
ESO563-G021	 60.80	  3.12	119.00	 4.27	  0.00	146.18	 574.33
ESO563-G021	 60.80	  4.01	141.00	 3.76	  0.00	157.86	 548.02
ESO563-G021	 60.80	  4.90	195.00	 4.54	  0.00	175.79	 524.14
ESO563-G021	 60.80	  5.79	227.00	 4.20	  0.00	199.19	 483.52
ESO563-G021	 60.80	  6.69	246.00	 4.24	  0.00	217.87	 426.75
ESO563-G021	 60.80	  7.58	268.00	 5.56	  0.00	228.65	 376.92
ESO563-G021	 60.80	  8.47	283.00	 2.96	  0.00	241.76	 345.98
ESO563-G021	 60.80	 10.23	291.00	 9.81	  0.00	260.94	 282.74
ESO563-G021	 60.80	 12.06	310.00	 4.74	  0.04	275.04	 199.54
ESO563-G021	 60.80	 13.44	310.00	20.40	  0.40	277.98	 164.72
ESO563-G021	 60.80	 15.18	310.00	16.10	  3.11	282.25	 131.46
ESO563-G021	 60.80	 16.83	314.00	13.50	 15.18	283.33	  96.52
ESO563-G021	 60.80	 18.56	317.00	12.70	 22.91	276.47	  70.44
ESO563-G021	 60.80	 20.30	319.00	10.40	 33.06	272.19	  62.60
ESO563-G021	 60.80	 21.94	318.00	10.80	 33.62	273.00	  50.58
ESO563-G021	 60.80	 23.68	317.00	 9.30	 39.67	271.34	  32.65
ESO563-G021	 60.80	 25.41	317.00	 7.23	 44.98	261.62	  19.67
ESO563-G021	 60.80	 27.06	312.00	 8.39	 46.29	252.97	  13.79
ESO563-G021	 60.80	 28.80	312.00	 8.37	 43.21	243.84	   7.98
ESO563-G021	 60.80	 30.53	311.00	11.50	 45.08	233.85	   4.31
ESO563-G021	 60.80	 32.18	310.00	14.50	 52.43	224.75	   2.73
ESO563-G021	 60.80	 33.91	313.00	15.90	 59.70	216.21	   1.63
ESO563-G021	 60.80	 35.65	320.00	 8.83	 61.56	208.83	   1.34
ESO563-G021	 60.80	 37.30	321.00	 7.88	 63.33	202.65	   0.94
ESO563-G021	 60.80	 39.03	320.00	 8.00	 62.96	196.77	   0.72
ESO563-G021	 60.80	 40.76	315.00	 9.82	 62.40	191.39	   0.59
ESO563-G021	 60.80	 42.41	312.00	 9.07	 62.21	186.89	   0.59
F561-1     	 66.40	  1.61	 23.40	10.00	  5.21	 28.61	  43.88
F561-1     	 66.40	  3.23	 40.60	 5.00	 10.57	 37.58	  19.59
F561-1     	 66.40	  4.84	 45.50	 5.00	 15.71	 39.10	  14.19
F561-1     	 66.40	  6.45	 49.20	 5.00	 20.94	 44.01	  11.07
F561-1     	 66.40	  8.06	 50.40	 5.00	 25.97	 48.52	   7.95
F561-1     	 66.40	  9.66	 50.40	 5.00	 29.26	 49.44	   3.35
F563-1     	 48.90	  1.07	 22.10	 7.17	  1.98	 18.30	  33.42
F563-1     	 48.90	  1.78	 42.70	10.66	  4.03	 24.51	  20.43
F563-1     	 48.90	  2.49	 60.60	 7.69	  6.25	 27.45	  14.31
F563-1     	 48.90	  2.97	 76.80	11.10	  7.78	 28.28	   9.63
F563-1     	 48.90	  3.04	 81.60	17.50	  8.01	 28.20	   9.31
F563-1     	 48.90	  3.19	 87.00	 8.93	  8.49	 28.16	   9.15
F563-1     	 48.90	  6.95	 90.00	24.80	 17.83	 29.57	   3.35
F563-1     	 48.90	  8.58	 97.80	 9.40	 22.83	 29.09	   1.88
F563-1     	 48.90	  9.26	 93.70	25.30	 24.91	 28.73	   1.68
F563-1     	 48.90	  9.89	103.00	23.80	 26.69	 28.70	   1.49
F563-1     	 48.90	 10.08	 97.40	11.00	 27.31	 28.73	   1.43
F563-1     	 48.90	 11.84	106.50	 9.48	 30.86	 27.77	   0.72
F563-1     	 48.90	 14.56	112.00	11.00	 30.44	 25.73	   0.36
F563-1     	 48.90	 15.43	111.50	 9.40	 30.70	 25.11	   0.28
F563-1     	 48.90	 17.93	111.00	24.30	 33.36	 23.48	   0.14
F563-1     	 48.90	 19.02	112.50	 7.75	 34.35	 22.95	   0.10
F563-1     	 48.90	 20.10	106.00	10.70	 35.34	 22.07	   0.00
F563-V1    	 54.00	  1.31	 12.00	 5.00	  4.66	 11.06	  12.60
F563-V1    	 54.00	  2.63	 21.70	 5.00	  9.66	 16.85	   9.31
F563-V1    	 54.00	  3.93	 28.60	 5.00	 13.79	 23.41	   7.16
F563-V1    	 54.00	  5.24	 29.50	 5.00	 16.46	 24.18	   3.64
F563-V1    	 54.00	  6.55	 28.60	 5.00	 18.52	 23.59	   2.39
F563-V1    	 54.00	  7.87	 27.30	 5.00	 20.17	 23.33	   2.56
F563-V2    	 59.70	  0.28	 11.90	 7.89	  0.95	  6.22	  68.00
F563-V2    	 59.70	  0.87	 34.80	 7.89	  2.93	 17.64	  60.24
F563-V2    	 59.70	  1.46	 58.50	 8.68	  4.98	 27.33	  50.99
F563-V2    	 59.70	  2.05	 81.50	14.20	  7.20	 35.16	  39.39
F563-V2    	 59.70	  2.35	 91.80	17.50	  8.24	 37.71	  33.19
F563-V2    	 59.70	  4.76	114.00	 8.68	 16.62	 45.06	  10.80
F563-V2    	 59.70	  7.86	116.00	 8.68	 34.33	 41.16	   3.01
F563-V2    	 59.70	  8.70	117.00	16.60	 39.57	 40.09	   2.22
F563-V2    	 59.70	 10.18	118.00	51.90	 39.57	 38.11	   1.34
F563-V2    	 59.70	 10.47	118.00	40.30	 39.57	 37.78	   1.24
F565-V2    	 51.80	  1.26	 21.70	10.00	  5.70	 11.40	  12.58
F565-V2    	 51.80	  2.51	 40.30	10.00	 10.70	 17.23	   5.69
F565-V2    	 51.80	  3.78	 57.70	 7.00	 14.75	 19.15	   4.01
F565-V2    	 51.80	  5.03	 68.50	 7.00	 18.18	 18.51	   1.60
F565-V2    	 51.80	  6.29	 73.50	 7.00	 21.50	 20.41	   1.58
F565-V2    	 51.80	  7.54	 78.50	 5.00	 24.72	 20.52	   0.60
F565-V2    	 51.80	  8.80	 83.10	 6.00	 27.11	 18.68	   0.21
F567-2     	 79.00	  1.92	 26.90	 8.00	 -8.25	 24.52	  22.17
F567-2     	 79.00	  3.83	 46.80	 5.00	-11.91	 32.41	  10.50
F567-2     	 79.00	  5.75	 47.60	 5.00	 -2.02	 32.86	   5.00
F567-2     	 79.00	  7.67	 48.10	 8.00	 17.45	 32.97	   3.29
F567-2     	 79.00	  9.59	 52.20	10.00	 24.22	 33.05	   1.99
F568-1     	 90.70	  0.44	 15.70	 9.10	 -2.08	 12.26	  98.11
F568-1     	 90.70	  1.32	 44.50	 9.10	 -5.39	 28.49	  57.84
F568-1     	 90.70	  2.20	 69.40	 9.10	 -6.26	 35.84	  38.81
F568-1     	 90.70	  3.08	 90.00	11.40	 -3.53	 40.15	  24.49
F568-1     	 90.70	  3.96	105.00	 9.88	  1.83	 41.23	  19.47
F568-1     	 90.70	  4.84	113.00	16.20	  8.40	 42.44	  16.02
F568-1     	 90.70	  5.53	117.00	24.80	 13.64	 43.19	  13.79
F568-1     	 90.70	  7.48	124.00	 9.10	 27.27	 47.20	  10.81
F568-1     	 90.70	  8.37	127.00	 9.10	 32.13	 48.60	   8.48
F568-1     	 90.70	  9.24	130.00	 9.10	 36.26	 48.96	   6.88
F568-1     	 90.70	 10.13	133.00	 9.10	 39.77	 48.92	   5.70
F568-1     	 90.70	 13.23	142.00	23.80	 47.41	 49.96	   3.23
F568-3     	 82.40	  0.64	 12.40	 8.60	  1.18	 13.56	  67.54
F568-3     	 82.40	  1.18	 21.90	 6.20	  1.55	 21.17	  56.11
F568-3     	 82.40	  1.80	 32.30	 1.88	  1.60	 27.72	  46.30
F568-3     	 82.40	  2.03	 37.90	 6.20	  1.54	 29.76	  44.10
F568-3     	 82.40	  2.78	 53.10	 9.50	  1.46	 36.40	  37.67
F568-3     	 82.40	  3.00	 62.40	11.00	  1.62	 38.08	  35.56
F568-3     	 82.40	  3.64	 68.00	 6.20	  2.96	 42.40	  30.26
F568-3     	 82.40	  4.19	 78.00	 7.98	  5.28	 45.43	  25.29
F568-3     	 82.40	  4.60	 82.30	 6.20	  6.86	 46.43	  21.07
F568-3     	 82.40	  5.14	 85.70	 6.30	  8.92	 47.19	  19.58
F568-3     	 82.40	  5.39	 85.50	 6.51	  9.95	 47.91	  19.11
F568-3     	 82.40	  6.31	 89.50	15.60	 14.48	 50.48	  14.95
F568-3     	 82.40	  9.10	 95.20	15.50	 26.69	 51.31	   7.98
F568-3     	 82.40	 10.17	 97.50	 6.20	 29.90	 52.01	   6.77
F568-3     	 82.40	 11.99	101.00	10.20	 33.72	 51.60	   4.47
F568-3     	 82.40	 14.02	107.00	10.70	 36.41	 50.13	   3.11
F568-3     	 82.40	 15.94	117.00	11.70	 38.69	 49.27	   2.41
F568-3     	 82.40	 17.98	120.00	12.00	 39.00	 48.97	   1.66
F568-V1    	 80.60	  0.39	 17.40	30.40	 -1.11	 12.25	  99.83
F568-V1    	 80.60	  1.18	 46.30	37.10	 -2.76	 28.99	  60.79
F568-V1    	 80.60	  1.95	 69.10	13.10	 -2.63	 34.78	  34.20
F568-V1    	 80.60	  2.74	 85.20	 6.20	 -0.03	 37.08	  27.14
F568-V1    	 80.60	  3.53	 93.20	 6.20	  3.84	 41.20	  22.68
F568-V1    	 80.60	  4.30	100.00	12.40	  7.34	 44.37	  16.78
F568-V1    	 80.60	  5.09	108.00	 6.20	  9.92	 45.35	  11.52
F568-V1    	 80.60	  5.87	112.00	 6.20	 12.15	 44.94	   9.36
F568-V1    	 80.60	  6.40	113.00	24.90	 13.65	 45.12	   8.08
F568-V1    	 80.60	  7.44	113.00	15.50	 17.06	 45.76	   6.21
F568-V1    	 80.60	  8.21	112.00	13.10	 19.87	 46.01	   4.32
F568-V1    	 80.60	  9.00	111.00	26.40	 22.99	 44.52	   3.01
F568-V1    	 80.60	  9.72	111.00	19.40	 26.10	 43.69	   2.45
F568-V1    	 80.60	 11.79	113.00	12.50	 34.23	 40.77	   1.17
F568-V1    	 80.60	 17.63	118.00	14.60	 36.03	 33.12	   0.00
F571-8     	 53.30	  0.22	 12.40	 7.00	  0.92	 38.29	1846.57
F571-8     	 53.30	  0.78	 37.50	 4.00	  2.67	 85.69	 705.48
F571-8     	 53.30	  1.33	 56.50	 4.00	  3.90	104.00	 403.21
F571-8     	 53.30	  2.33	 69.10	 4.00	  5.34	114.45	 121.25
F571-8     	 53.30	  3.44	 85.50	 7.50	  7.09	107.32	  35.98
F571-8     	 53.30	  3.78	 87.10	 8.40	  7.29	103.70	  25.02
